EVENT_DATA_MEM_REFS              0x43
UMASK_DATA_MEM_REFS              0x00

EVENT_DCU_LINES_IN               0x45
UMASK_DCU_LINES_IN               0x00

EVENT_DCU_M_LINES_IN             0x46
UMASK_DCU_M_LINES_IN             0x00

EVENT_DCU_M_LINES_OUT            0x47
UMASK_DCU_M_LINES_OUT            0x00

EVENT_DCU_MISS_OUTSTANDING       0x48
UMASK_DCU_MISS_OUTSTANDING       0x00

EVENT_IFU_IFETCH                 0x80
UMASK_IFU_IFETCH                 0x00

EVENT_IFU_IFETCH_MISS            0x81
UMASK_IFU_IFETCH_MISS            0x00

EVENT_ITLB_MISS                  0x85
UMASK_ITLB_MISS                  0x00

EVENT_IFU_MEM_STALL              0x86
UMASK_IFU_MEM_STALL              0x00

EVENT_ILD_STALL                  0x87
UMASK_ILD_STALL                  0x00

EVENT_L2_IFETCH                  0x28
UMASK_L2_IFETCH                  0x0F

EVENT_L2_LD                      0x29
UMASK_L2_LD                      0x0F

EVENT_L2_ST                      0x2A
UMASK_L2_ST                      0x0F

EVENT_L2_LINES_IN                0x24
UMASK_L2_LINES_IN                0x00

EVENT_L2_LINES_OUT               0x26
UMASK_L2_LINES_OUT               0x00

EVENT_L2_LINES_INM               0x25
UMASK_L2_LINES_INM               0x00

EVENT_L2_LINES_OUTM              0x27
UMASK_L2_LINES_OUTM              0x00

EVENT_L2_RQSTS                   0x2E
UMASK_L2_RQSTS                   0x00

EVENT_L2_ADS                     0x21
UMASK_L2_ADS                     0x00

EVENT_L2_DBUS_BUSY               0x22
UMASK_L2_DBUS_BUSY               0x00

EVENT_L2_DBUS_BUSY_RD            0x23
UMASK_L2_DBUS_BUSY_RD            0x00

EVENT_BUS_DRDY_CLOCKS            0x62
UMASK_BUS_DRDY_CLOCKS_SELF       0x00
UMASK_BUS_DRDY_CLOCKS_ANY        0x20

EVENT_BUS_LOCK_CLOCKS            0x63
UMASK_BUS_LOCK_CLOCKS_SELF       0x00
UMASK_BUS_LOCK_CLOCKS_ANY        0x20

EVENT_BUS_REQ_OUTSTANDING        0x60
UMASK_BUS_REQ_OUTSTANDING_SELF   0x00

EVENT_BUS_TRAN_BRD               0x65
UMASK_BUS_TRAN_BRD_SELF          0x00
UMASK_BUS_TRAN_BRD_ANY           0x20

EVENT_BUS_TRAN_RFO               0x66
UMASK_BUS_TRAN_RFO_SELF          0x00
UMASK_BUS_TRAN_RFO_ANY           0x20

EVENT_BUS_TRAN_WB                0x67
UMASK_BUS_TRAN_WB_SELF           0x00
UMASK_BUS_TRAN_WB_ANY            0x20

EVENT_BUS_TRAN_IFETCH            0x68
UMASK_BUS_TRAN_IFETCH_SELF       0x00
UMASK_BUS_TRAN_IFETCH_ANY        0x20

EVENT_BUS_TRAN_INVAL             0x69 
UMASK_BUS_TRAN_INVAL_SELF        0x00
UMASK_BUS_TRAN_INVAL_ANY         0x20

EVENT_BUS_TRAN_PWR               0x6A
UMASK_BUS_TRAN_PWR_SELF          0x00
UMASK_BUS_TRAN_PWR_ANY           0x20

EVENT_BUS_TRANS_P                0x6B
UMASK_BUS_TRANS_P_SELF           0x00
UMASK_BUS_TRANS_P_ANY            0x20

EVENT_BUS_TRANS_IO                0x6C
UMASK_BUS_TRANS_IO_SELF           0x00
UMASK_BUS_TRANS_IO_ANY            0x20

EVENT_BUS_TRAN_DEF                0x6D
UMASK_BUS_TRAN_DEF_SELF           0x00
UMASK_BUS_TRAN_DEF_ANY            0x20

EVENT_BUS_TRAN_BURST              0x6E
UMASK_BUS_TRAN_BURST_SELF         0x00
UMASK_BUS_TRAN_BURST_ANY          0x20

EVENT_BUS_TRAN_ANY                0x70
UMASK_BUS_TRAN_ANY_SELF           0x00
